STATE,REGION,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,88
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,570
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,23
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,576
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,23
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,544
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,4
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,9
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,49
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARSON,345
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,89
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,MURDER,97
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,6
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,69
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,6
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,124
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,8945
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,68
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,98
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,104
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,182
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,117
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,4
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,4
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,243
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,4
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,6
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,11
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,45
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,825
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,62
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,24
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,106
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,5
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,65
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,28
